Name,Price ($),Cores,Score,Thread Mark,TDP,Socket,Power Efficiency (Score/W),Price Efficiency (Score/$),Average Efficiency,URL,Power Efficiency (FPS/W),2024-08-06 10:30:15
AMD Ryzen 5 1600,20.00,6,12283,2066,65,AM4,188.9692,614.1500,401.5596,https://www.ebay.com/itm/AMD-YD1600BBAEBOX-Ryzen-5-1600-32GHz-6-Core-AM4-Processor-Wraith-Spire-/126450679150,188.9692,29.99
AMD Ryzen 5 1400,19.80,4,7752,1895,65,AM4,119.2615,391.5152,255.3884,https://www.ebay.com/itm/AMD-RYZEN-7-2700-1800X-1700X-1700-R5-1600X-1600-2600X-1400-R3-1200-Sockt-AM4-/186477814527?var=0,119.2615,45.99
AMD Ryzen 3 1300X,22.00,4,6970,2125,65,AM4,107.2308,316.8182,212.0245,https://www.ebay.com/itm/AMD-CPU-RYZEN-3-1300X-3-5GHZ-Socket-AM4-/186398661700,107.2308,27.7
AMD Ryzen 3 2200G,24.99,4,6759,2050,65,AM4,103.9846,270.4682,187.2264,https://www.ebay.com/itm/AMD-Ryzen-3-2200G-Processor-3-5-GHz-4-Cores-/196527467489,103.9846,28.49
AMD Ryzen 5 1500X,26.00,4,9099,2113,65,AM4,139.9846,349.9615,244.9731,https://www.ebay.com/itm/AMD-CPU-Ryzen-5-1500X-3-5GHZ-Socket-AM4-/176358179385,139.9846,38.99
AMD Ryzen 3 PRO 2200G,29.99,4,6824,2068,65,AM4,104.9846,227.5425,166.2636,https://www.ebay.com/itm/AMD-Ryzen-3-PRO-2200G-3-2-GHz-Socket-AM4-CPU-YD220BC5M4MFB-/196442760775,104.9846,65.0
AMD Ryzen 5 PRO 2400GE,34.99,4,7656,2122,35,AM4,218.7429,218.8054,218.7741,https://www.ebay.com/itm/AMD-Ryzen-5-Pro-2400GE-3-2GHz-35W-AM4-Desktop-CPU-Processor-YD240BC6M4MFB-/405103391659,218.7429,39.75
AMD Ryzen 5 2400GE,34.99,4,7521,2100,35,AM4,214.8857,214.9471,214.9164,https://www.ebay.com/itm/AMD-Ryzen-5-Pro-2400GE-3-2GHz-35W-AM4-Desktop-CPU-Processor-YD240BC6M4MFB-/405103391659,214.8857,39.75
Intel Core i3-9100F,32,4,6738,2499,65,FCLGA1151-2,103.6615,210.5625,157.1120,https://www.ebay.com/itm/Intel-Core-i3-9100F-4core-4-Threads-3-60GHz-65W-6MB-LGA-1151-CPU-processor-/395551840438,103.6615,41.99
AMD Ryzen 5 2600X,34.99,6,13910,2384,95,AM4,146.4211,397.5422,271.9817,https://www.ebay.com/itm/AMD-Ryzen-5-2600-3-9-GHz-Six-Core-YD2600BBM6IAF-km-/176489859095,146.4211,42.99
AMD Ryzen 5 2600,34.99,6,13196,2245,65,AM4,203.0154,377.1363,290.0759,https://www.ebay.com/itm/AMD-Ryzen-5-2600-3-9-GHz-Six-Core-YD2600BBM6IAF-km-/176489859095,203.0154,40.99
AMD Ryzen 5 1600X,35.00,6,13062,2198,95,AM4,137.4947,373.2000,255.3474,https://www.ebay.com/itm/AMD-Ryzen-5-1600-AM4-Hexa-core-3-2-GHz-Gaming-Processor-NO-COOLER-/387225717220,137.4947,29.99
Intel Core i5-8400T,35,6,7425,1917,35,FCLGA1151-2,212.1429,212.1429,212.1429,https://www.ebay.com/itm/Intel-Core-i5-8400T-6-Core-1-70GHz-SR3X6-FREE-SHIPPING-/296121002923,212.1429,44.99
AMD Ryzen 3 3200G,35.00,4,7133,2207,65,AM4,109.7385,203.8000,156.7692,https://www.ebay.com/itm/AMD-RYZEN-3-PRO-3200G-CPU-YD320BC5M4MFH-/256580714468,109.7385,38.0
AMD Ryzen 7 2700X,36.00,8,17527,2421,105,AM4,166.9238,486.8611,326.8924,https://www.ebay.com/itm/AMD-RYZEN-7-2700X-2700-R5-2600X-2600-2400G-R3-2300X-2200G-Sockt-AM4-Series-/186380314704?var=0,166.9238,72.77
AMD Ryzen 3 3100,35.00,4,11608,2420,65,AM4,178.5846,331.6571,255.1209,https://www.ebay.com/itm/AMD-Ryzen-3-3100-3rd-Gen-4-core-3-9GHz-65w-Quad-core-Desktop-Processor-/365038718921,178.5846,99.99
Intel Core i5-8500,36,6,9552,2456,65,FCLGA1151-2,146.9538,265.3333,206.1436,https://www.ebay.com/itm/Intel-i5-8500-6-Core-3-00GHz-LGA-1151-Socket-Desktop-CPU-Processor-/176392763450,146.9538,34.99
AMD Ryzen 5 2400G,38.99,4,8729,2147,65,AM4,134.2923,223.8779,179.0851,https://www.ebay.com/itm/AMD-Ryzen-5-Pro-2400-GE-Quad-Core-CPU-YDZ240BC6M4MFB-/305699376398,134.2923,32.99
AMD Ryzen 5 PRO 2400G,38.99,4,8496,2153,65,AM4,130.7077,217.9020,174.3048,https://www.ebay.com/itm/AMD-Ryzen-5-Pro-2400-GE-Quad-Core-CPU-YDZ240BC6M4MFB-/305699376398,130.7077,32.99
AMD Ryzen 3 3200GE,37.99,4,7309,2206,35,AM4,208.8286,192.3927,200.6106,https://www.ebay.com/itm/AMD-Ryzen-3-PRO-3200GE-4-Core-CPU-Processor-3-30GHz-AM4-YD320BC6M4MFH-/395564438684,208.8286,95.97
Intel Core i5-8600T,38,6,9339,2281,35,FCLGA1151-2,266.8286,245.7632,256.2959,https://www.ebay.com/itm/Intel-Core-i5-8600T-SR3X3-2-3GHz-6-Core-LGA1151-9MB-Desktop-CPU-Processor-/235667910628,266.8286,42.99
Intel Core i5-8500T,38,6,7736,2017,35,FCLGA1151-2,221.0286,203.5789,212.3038,https://www.ebay.com/itm/Intel-Core-i5-8500T-2-10GHz-Six-Core-9MB-CPU-Processor-SR3XD-95-/335503972159,221.0286,33.99
AMD Ryzen 3 4100,39.60,4,11077,2529,65,AM4,170.4154,279.7222,225.0688,https://www.ebay.com/itm/AMD-Ryzen-3-4100-Desktop-Processor-AM4-100-000000510-Eight-Threads-7nm-Zen-2-/185830718249,170.4154,48.67
Intel Core i5-8600,39.84,6,9956,2579,65,FCLGA1151-2,153.1692,249.8996,201.5344,https://www.ebay.com/itm/Intel-Core-i5-8600-3-10GHz-SR3X0-6-Core-CPU-/226245482003,153.1692,34.99
Intel Core i5-8400,39.99,6,9232,2382,65,FCLGA1151-2,142.0308,230.8577,186.4443,https://www.ebay.com/itm/Intel-Core-i5-8400-2-80-GHz-6-Cores-LGA-1151-SR3QT-FREE-SHIPPING-/156328470342,142.0308,34.99
AMD Ryzen 7 1700X,42.49,8,15674,2101,95,AM4,164.9895,368.8868,266.9382,https://www.ebay.com/itm/AMD-RYZEN-7-1700X-CPU-/116246857001,164.9895,54.0
AMD Ryzen 7 1700,42.49,8,14807,2000,65,AM4,227.8,348.4820,288.1410,https://www.ebay.com/itm/AMD-RYZEN-7-1700X-CPU-/116246857001,227.8000,39.99
AMD Ryzen 5 3500X,42.75,6,13177,2505,65,AM4,202.7231,308.2339,255.4785,https://www.ebay.com/itm/AMD-RYZEN-9-3900X-R7-3700X-3800X-R5-3600XT-3600-3500X-4500-R3-4100-Sockt-AM4-/176323493508?var=0,202.7231,47.0
AMD Ryzen 5 3500,42.75,6,12792,2501,65,AM4,196.8,299.2281,248.0140,https://www.ebay.com/itm/AMD-RYZEN-9-3900X-R7-3700X-3800X-R5-3600XT-3600-3500X-4500-R3-4100-Sockt-AM4-/176323493508?var=0,196.8000,48.99
Intel Core i5-9400,42.95,6,9369,2438,65,FCLGA1151-2,144.1385,218.1374,181.1379,https://www.ebay.com/itm/Intel-Core-i5-9400F-SRF6M-2-90GHz-CPU-Processor-/166889778764,144.1385,35.99
Intel Core i3-8350K,43.88,4,6859,2476,91,FCLGA1151-2,75.3736,156.3127,115.8432,https://www.ebay.com/itm/Intel-Core-i3-8350K-4-core-4-00GHz-91W-SR3N4-LGA-1151-CPU-processor-/395549493908,75.3736,39.99
Intel Core i5-9500T,44.99,6,8210,2168,35,FCLGA1151-2,234.5714,182.4850,208.5282,https://www.ebay.com/itm/Intel-Core-i5-9500T-2-20Ghz-SRF4D-6-Core-LGA1151-Socket-CPU-Processor-/315499869580,234.5714,39.84
AMD Ryzen 5 3400GE,45.00,4,8907,2295,35,AM4,254.4857,197.9333,226.2095,https://www.ebay.com/itm/AMD-RYZEN-5-Pro-3400GE-3-3-GHZ-4-Core-AM4-YD340BC6M4MFH-FREE-SHIPPING-/375237314322,254.4857,53.74
AMD Ryzen 5 PRO 3400GE,45.00,4,8286,2242,35,AM4,236.7429,184.1333,210.4381,https://www.ebay.com/itm/AMD-RYZEN-5-Pro-3400GE-3-3-GHZ-4-Core-AM4-YD340BC6M4MFH-FREE-SHIPPING-/375237314322,236.7429,61.97
AMD Ryzen 5 3400G,39.60,4,9267,2334,65,AM4,142.5692,234.0152,188.2922,https://www.ebay.com/itm/AMD-RYZEN-7-5700G-4750G-R5-5600GE-Pro-4650G-3400G-2400GE-R3-3200GE-2200G-CPU-/176380431577?var=475907225099,142.5692,57.95
Intel Core i7-6700K,48.1,4,8929,2504,95,LGA1151,93.9895,185.6341,139.8118,https://www.ebay.com/itm/Intel-Core-i7-6700K-SR2L0-Desktop-Processor-8M-Cache-4-00GHz-Tested-/186600787278,93.9895,44.45
AMD Ryzen 5 2500X,49.00,4,9482,2323,65,AM4,145.8769,193.5102,169.6936,https://www.ebay.com/itm/AMD-Ryzen-5-2500X-AM4-CPU-Quad-Core-3-6-GHz-8MB-65W-Processor-R5-2500X-/175248763812,145.8769,49.0
Intel Core i7-7700T,49.99,4,7617,2152,35,FCLGA1151,217.6286,152.3705,184.9995,https://www.ebay.com/itm/Dell-OptiPlex-7050-Micro-Intel-i7-7700T-2-90GHz-16GB-Fair-No-COA-SSD-/285955256046,217.6286,49.99
AMD Ryzen 7 1800X,50.00,8,16374,2198,95,AM4,172.3579,327.4800,249.9189,https://www.ebay.com/itm/AMD-CPU-Ryzen-7-1800X-3-6-GHz-8-Core-Socket-AM4-/186592656198,172.3579,69.77
AMD Ryzen 5 4500,53.01,6,16142,2597,65,AM4,248.3385,304.5086,276.4235,https://www.ebay.com/itm/AMD-Ryzen-5-4500-3-6-GHz-6-Core-AM4-Processor-Used-/386779034646,248.3385,62.99
Intel Core i5-9500,54,6,9797,2573,65,FCLGA1151-2,150.7231,181.4259,166.0745,https://www.ebay.com/itm/Intel-Core-i5-9500-CPU-3-00ghz-SRF4B-Processor-/305675755560,150.7231,39.84
AMD Ryzen 7 2700,55.00,8,15705,2179,65,AM4,241.6154,285.5455,263.5804,https://www.ebay.com/itm/AMD-CPU-Ryzen-7-2700-8-Core-3-2GHZ-Socket-AM4-/186442150029,241.6154,84.11
Intel Core i5-9500F,58,6,10028,2601,65,FCLGA1151-2,154.2769,172.8966,163.5867,https://www.ebay.com/itm/Intel-Core-i5-9500F-6-Cores-6-Threads-65W-LGA-1151-3-00GHz-CPU-Processor-/135142734522,154.2769,54.99
Intel Core i7-7700,58.5,4,8646,2454,65,LGA1151,133.0154,147.7949,140.4051,https://www.ebay.com/itm/Intel-Core-i7-7700-3-60GHz-Kaby-Lake-LGA-1151-Quad-Core-Desktop-CPU-TESTED-/256584718461,133.0154,55.0
Intel Core i5-9600,58.99,6,10422,2739,65,FCLGA1151-2,160.3385,176.6740,168.5063,https://www.ebay.com/itm/Intel-Core-i5-9600-3-1GHz-Hexa-Core-9MB-65W-FCLGA1151-64-bit-Processor-SRF4H-/266892079116,160.3385,45.0
Intel Pentium Gold G7400,58.99,2,6726,2996,46,"LGA1700,BGA1700",146.2174,114.0193,130.1183,https://www.ebay.com/itm/Intel-Pentium-Gold-G7400-SRL66-3-7GHz-LGA-1700-6MB-CPU-Processor-Used-/296434983577,146.2174,138.68
AMD Ryzen 5 3600,59.00,6,17754,2567,65,AM4,273.1385,300.9153,287.0269,https://www.ebay.com/itm/AMD-Ryzen-5-3600-3-6GHz-6-Core-12T-PROCESSOR-Socket-AM4-CPU-65W-B450-/293547445677,273.1385,36.99
AMD Ryzen 3 3300X,59.37,4,12650,2674,65,AM4,194.6154,213.0706,203.8430,https://www.ebay.com/itm/AMD-Ryzen-series-R5-2600X-R7-2700X-r3-3300x-R5-3500X-R5-3600X-Slot-AM4-CPU-/145729832643?var=0,194.6154,59.37
Intel Core i5-8600K,59.99,6,10200,2592,95,FCLGA1151-2,107.3684,170.0283,138.6984,https://www.ebay.com/itm/Intel-Core-i5-8600K-SR3QU-6-Core-3-60GHz-9-Mb-Cache-LGA1151-CPU-Processor-/335396470842,107.3684,49.99
AMD Ryzen 5 3600X,61.20,6,18202,2653,95,AM4,191.6,297.4183,244.5091,https://www.ebay.com/itm/AMD-RYZEN-9-3900X-R7-3700X-3800X-R5-3600XT-3600-3500X-4500-R3-4100-Sockt-AM4-/176323493508?var=475821166656,191.6000,88.15
AMD Ryzen 5 PRO 3400G,61.99,4,9091,2303,65,AM4,139.8615,146.6527,143.2571,https://www.ebay.com/itm/AMD-Ryzen-5-Pro-3400G-3-70-GHz-Socket-AM4-Desktop-CPU-Processor-YD340BC5M4MFH-/364858424945,139.8615,89.0
AMD Ryzen 3 PRO 1300,64.99,4,7234,2187,65,AM4,111.2923,111.3094,111.3008,https://www.ebay.com/itm/Dell-OptiPlex-5055-SFF-AMD-Ryzen-3-PRO-1300-8GB-No-COA-Caddy-HDD-/266877508233,111.2923,64.99
Intel Core i3-12100,65.00,4,13575,3435,60,FCLGA1700,226.25,208.8462,217.5481,https://www.ebay.com/itm/Intel-Core-i3-i3-12100-SRL62-Processor-CPU-Quad-Core-3-3-4-3GHz-LGA-1170-/176386965862,226.2500,75.0
Intel Core i3-9350KF,66,4,7549,2668,91,FCLGA1151-2,82.956,114.3788,98.6674,https://www.ebay.com/itm/Intel-Core-i3-9350KF-4-core-4-thread-8MB-4-00GHz-91W-LGA-1151-CPU-processor-/395549473257,82.9560,66.0
Intel Core i5-9600K,67.99,6,10673,2740,95,FCLGA1151-2,112.3474,156.9790,134.6632,https://www.ebay.com/itm/Intel-Core-i5-9600K-3-70-GHz-LGA-1151-Desktop-CPU-Processor-SRELU-/364984518622,112.3474,58.99
Intel Core i7-8700T,67.99,6,10170,2300,35,FCLGA1151-2,290.5714,149.5808,220.0761,https://www.ebay.com/itm/Intel-Core-i7-8700T-SR3WX-2-40GHz-6-Core-12-Threads-LGA1151-CPU-Processor-/115550216007,290.5714,67.5
Intel Core i3-9350K,68.8,4,7700,2783,91,FCLGA1151,84.6154,111.9186,98.2670,https://www.ebay.com/itm/Intel-Core-i3-9350K-4-Core-4-threads-91W-8MB-4-00GHz-LGA-1151-CPU-processor-/395549447410,84.6154,47.99
Intel Core i3-12100F,69.99,4,14131,3464,58,FCLGA1700,243.6379,201.9003,222.7691,https://www.ebay.com/itm/Intel-Core-i3-12100F-12th-Gen-Alder-Lake-Quad-Core-3-3GHz-LGA-1700-CPU-Processor-/176497158909,243.6379,108.29
Intel Core i5-9600T,70,6,9602,2422,35,FCLGA1151-2,274.3429,137.1714,205.7571,https://www.ebay.com/itm/Intel-Core-I5-9600T-6-Core-2-30GHz-8-GT-s-9MB-L3-Socket-LGA1151-CPU-Processor-/126120459054,274.3429,64.99
AMD Ryzen 5 4600G,70.00,6,16067,2658,65,AM4,247.1846,229.5286,238.3566,https://www.ebay.com/itm/AMD-Ryzen-5-G-Series-4600G-Stock-Cooler-/296602096441,247.1846,70.04
AMD Ryzen Threadripper 1900X,59.99,8,16800,2326,180,sTR4,93.3333,280.0467,186.6900,https://www.ebay.com/itm/AMD-Ryzen-Threadripper-1900X-Processor-YD190XA8U8QAE-/326217024744,93.3333,59.99
Intel Core i3-13100F,89.99,4,14621,3605,58,FCLGA1700,252.0862,162.4736,207.2799,https://www.ebay.com/itm/NEW-Intel-Core-i3-13100F-3-40GHz-4-50GHz-Max-4-Core-Processor-CPU-FCLGA1700-/116267795636,252.0862,106.98
Intel Core i3-13100,75.00,4,13404,3372,60,FCLGA1700,223.4,178.7200,201.0600,https://www.ebay.com/itm/Intel-core-i3-13100F-Processors-3-4GHz-CPU-LGA1700-Up-4-50GHz-4-Cores-/176489927970,223.4000,130.0
AMD Ryzen 3 4300G,75.00,4,10966,2556,65,AM4,168.7077,146.2133,157.4605,https://www.ebay.com/itm/Amd-Ryzen-3-4300G-Quad-core-8-thread-3-8-Ghz-Socket-Am4-/387089305891,168.7077,75.0
AMD Ryzen Threadripper 1920,75.99,12,22066,2299,140,sTR4,157.6143,290.3803,223.9973,https://www.ebay.com/itm/AMD-Ryzen-Threadripper-1950X-1920X-1900X-cpu-socket-str4-supports-x399-processor-/266805444119?var=0,157.6143,99.99
Intel Core i5-12400F,75.99,6,19542,3505,65,FCLGA1700,300.6462,257.1654,278.9058,https://www.ebay.com/itm/Intel-Core-i5-12400F-SRL5Z-4-4-GHz-CPU-Processor-/126584233175,300.6462,105.0
Intel Core i5-9600KF,78.5,6,10696,2742,95,FCLGA1151-2,112.5895,136.2548,124.4221,https://www.ebay.com/itm/Intel-Core-i5-9600KF-3-70GHz-6-core-9MB-LGA-1151-CPU-Prozessor-/355718605668,112.5895,52.99
Intel Core i7-8700,79.94,6,12852,2643,65,FCLGA1151-2,197.7231,160.7706,179.2468,https://www.ebay.com/itm/Intel-Core-i7-8700-3-20GHz-CPU-/305699297198,197.7231,67.99
AMD Ryzen 5 5500,86.99,6,19427,3059,65,AM4,298.8769,223.3245,261.1007,https://www.ebay.com/itm/AMD-Ryzen-5-5500-6-Core-12-Thread-Socket-AM4-CPU-Processor-OEM-Tray-/266554838085,298.8769,104.99
Intel Core i7-8700K,79.99,6,13638,2729,95,FCLGA1151-2,143.5579,170.4963,157.0271,https://www.ebay.com/itm/Intel-Core-i7-8700K-3-70GHz-6-Core-BX80684I78700K-12-Thread-LGA1151-/226245857272,143.5579,69.99
AMD Ryzen 7 3700X,74.99,8,22557,2660,65,AM4,347.0308,300.8001,323.9154,https://www.ebay.com/itm/AMD-RYZEN7-3700X-PROCESSOR-100-100000071BOX-/387239437402,347.0308,79.0
Intel Core i5-12500T,80.00,6,16578,3518,35,FCLGA1700,473.6571,207.2250,340.4411,https://www.ebay.com/itm/Intel-Core-i5-i5-12500T-SRL5W-2-00GHz-CPU-Processor-6-Core-LGA1700-/176395447660,473.6571,143.0
AMD Ryzen 5 5600G,82.00,6,19891,3191,65,AM4,306.0154,242.5732,274.2943,https://www.ebay.com/itm/USED-AMD-Ryzen-5-5600G-Processor-3-9-GHz-6-Cores-Socket-AM4-/364940472876,306.0154,114.99
AMD Ryzen 5 5600,92.99,6,21572,3257,65,AM4,331.8769,231.9819,281.9294,https://www.ebay.com/itm/New-AMD-Ryzen-5-5600-Vermeer-Zen3-6-Core-12-Thread-AM4-CPU-Processor-OEM-Tray-/266764723704,331.8769,65.0
AMD Ryzen 3 PRO 3200G,85.00,4,6991,2190,65,AM4,107.5538,82.2471,94.9005,https://www.ebay.com/itm/Lenovo-M75s-1-AMD-Ryzen-3-Pro-3200G-/266893319358,107.5538,129.99
AMD Ryzen 7 3800X,94.99,8,23159,2717,105,AM4,220.5619,243.8046,232.1832,https://www.ebay.com/itm/AMD-Ryzen-7-3800X-Processor-3-9GHz-8-Cores-Socket-AM4-/176488919312,220.5619,139.99
AMD Ryzen 5 PRO 4650G,87.99,6,16179,2655,65,AM4,248.9077,183.8732,216.3904,https://www.ebay.com/itm/AMD-RYZEN-5-4650GE-R5-PRO-4650GE-AM4-CPU-Processor-6-Cores-3-3GHz-12T-35W-8MB-/266339366686,248.9077,129.99
AMD Ryzen 5 PRO 4650GE,87.99,6,15554,2615,35,AM4,444.4,176.7701,310.5851,https://www.ebay.com/itm/AMD-RYZEN-5-4650GE-R5-PRO-4650GE-AM4-CPU-Processor-6-Cores-3-3GHz-12T-35W-8MB-/266339366686,444.4000,93.99
AMD Ryzen 3 PRO 4350G,88.00,4,10925,2546,65,AM4,168.0769,124.1477,146.1123,https://www.ebay.com/itm/AMD-Ryzen-3-PRO-4350G-AM4-CPU-Processor-R3-PRO-4350G-3-8GHz-Quad-Core-Desktop-/174586120400,168.0769,88.0
AMD Ryzen 7 PRO 3700,89.00,8,22916,2685,65,AM4,352.5538,257.4831,305.0185,https://www.ebay.com/itm/AMD-Ryzen-7-Pro-3700-AM4-CPU-Processor-R7-PRO-3700-3-6GHz-8Core-16Thr-32MB-65W-/175277285024,352.5538,189.95
Intel Core i3-9300,89.99,4,7137,2561,62,FCLGA1151-2,115.1129,79.3088,97.2108,https://www.ebay.com/itm/Intel-Core-i3-9300-SRCZU-CPU-Processor-3-70GHz-8M-Cache-LGA1151-/395310131236,115.1129,47.99
Intel Core i3-14100,110.00,4,15023,3727,60,FCLGA1700,250.3833,136.5727,193.4780,https://www.ebay.com/itm/Intel-Core-i3-14100F-Desktop-Processor-LGA-1700-CPU-Only-No-Cooler-/186567498044,250.3833,299.0
AMD Ryzen 5 5600X,93.00,6,21895,3360,65,AM4,336.8462,235.4301,286.1381,https://www.ebay.com/itm/AMD-Ryzen-5-5600-Processor-4-4-GHz-6-Cores-Socket-AM4-100-000000927-/116270614182,336.8462,90.0
AMD Ryzen 3 4300GE,97.00,4,11218,2553,35,AM4,320.5143,115.6495,218.0819,https://www.ebay.com/itm/AMD-Ryzen-3-4300GE-3-5GHz-Quad-Core-Desktop-35W-AM4-CPU-Processor-R3-4300GE-/144568623105,320.5143,97.0
